{saved1=5.269942203279959E-7, saveda10=2.1641862880973118E-7, saved3=0.15928788497349847, savedb10=4.516112945049698E-10, CFJ6UW6tW=2.666936537381679E-7, savedb0=2.2194573229313142E-11, savedc1=5.088769234680811E-5, savedb1=1.968277554159146E-10, savedb2=0.7046194208532893, savedb3=7.183476175066322E-9, savedb4=8.867024989294003E-6, savedb5=9.611331797673084E-9, saveda5=9.636863378262318E-7, savedb6=5.1271372959626475E-14, saveda6=9.287118300033559E-7, savedb7=3.7126017698514653E-8, saveda7=1.0976338382663868E-6, savedb8=1.2596658588129142E-7, saveda8=9.471772758693594E-7, savedb9=1.5361636550630516E-6, saveda9=7.551926285602848E-7}
{saved1=0.018145920106632102, saveda10=0.4304488398423496, saved3=6.36461524248076E-7, savedb10=5.825149927316178E-7, CFJ6UW6tW=0.666979605341855, savedb0=1.0039232681595205E-4, savedc1=1.4425688900172657E-6, savedb1=9.87328025034424E-7, savedb2=7.440585416280859E-5, savedb3=7.533642132073489E-4, savedb4=1.1336617581127525E-7, savedb5=3.0772443087985016E-8, saveda5=0.021133954337086078, savedb6=2.3275388179578925E-6, saveda6=0.021833742553081358, savedb7=0.29307111489138066, saveda7=0.023765758174487776, savedb8=7.80804937062135E-7, saveda8=0.022827319392114666, savedb9=1.5215307942298683E-10, saveda9=0.019589653413769694}
{saved1=0.018283355009055362, saveda10=0.43159132906960324, saved3=6.351168251809272E-7, savedb10=5.908707719875526E-7, CFJ6UW6tW=0.6674345356060852, savedb0=1.0185575249863989E-4, savedc1=1.4193411970826462E-6, savedb1=9.99144204749929E-7, savedb2=7.452708089526275E-5, savedb3=7.640516796474271E-4, savedb4=1.1416593924374954E-7, savedb5=3.111733876650501E-8, saveda5=0.02128788988960714, savedb6=2.3510936589472694E-6, saveda6=0.021993095816870825, savedb7=0.29107271581624466, saveda7=0.023934858292835908, savedb8=7.89050041255313E-7, saveda8=0.02299085162739917, savedb9=1.545814266591623E-10, saveda9=0.019733955497612563}
{saved1=0.01836719848551292, saveda10=0.4322850487770255, saved3=6.343038697383029E-7, savedb10=5.960033683443144E-7, CFJ6UW6tW=0.667711266097441, savedb0=1.0275443629615236E-4, savedc1=1.4054350395369446E-6, savedb1=1.0063873680752772E-6, savedb2=7.460045774963038E-5, savedb3=7.706136377912654E-4, savedb4=1.1465544893081204E-7, savedb5=3.13288221236921E-8, saveda5=0.02138177705173703, savedb6=2.365521807669087E-6, saveda6=0.022090287712193627, savedb7=0.2898645514624272, saveda7=0.024037978758499546, savedb8=7.940873290846637E-7, saveda8=0.023090581567236805, savedb9=1.5607567025742058E-10, saveda9=0.019821973501224627}
{saved1=1.0648240114548415E-4, saveda10=6.853593865908153E-7, saved3=0.0031233005618023957, savedb10=4.65589532762885E-11, CFJ6UW6tW=4.062378787461608E-9, savedb0=5.206461175958662E-12, savedc1=0.9953919621563153, savedb1=8.021713667606721E-9, savedb2=5.743692461231341E-7, savedb3=2.3217722243318787E-10, savedb4=1.1771818976795767E-9, savedb5=3.3217404132259954E-9, saveda5=1.3720220481279772E-4, savedb6=5.976198943203146E-6, saveda6=1.4480838334431374E-4, savedb7=2.4146544285915563E-4, saveda7=1.701080939898099E-4, savedb8=1.379671327259888E-4, saveda8=1.663214008720639E-4, savedb9=1.3997157136498058E-7, saveda9=1.337576011015675E-4}
{saved1=1.064825921750164E-4, saveda10=6.853197595513648E-7, saved3=0.0031231444765269286, savedb10=4.655912634727198E-11, CFJ6UW6tW=4.062141594607656E-9, savedb0=5.206390910872204E-12, savedc1=0.9953919576016308, savedb1=8.021718678144146E-9, savedb2=5.743484782550987E-7, savedb3=2.321766826011378E-10, savedb4=1.1771358857562806E-9, savedb5=3.3216628248505206E-9, saveda5=1.3720252506239564E-4, savedb6=5.9762176764766735E-6, saveda6=1.4480868692771248E-4, savedb7=2.4144459393850946E-4, saveda7=1.7010846767655192E-4, savedb8=1.379666522780624E-4, saveda8=1.663217391503029E-4, savedb9=1.3997294144882638E-7, saveda9=1.337578309029747E-4}
{saved1=0.01814728709511014, saveda10=0.43046022098635806, saved3=6.364480202101185E-7, savedb10=5.825976964782468E-7, CFJ6UW6tW=0.6669840929026022, savedb0=1.0040679971304714E-4, savedc1=1.4423357999426186E-6, savedb1=9.874452182003243E-7, savedb2=7.440706022776496E-5, savedb3=7.5346993192754E-4, savedb4=1.1337410234796692E-7, savedb5=3.077586815793073E-8, saveda5=0.021135485630702597, savedb6=2.32777258648018E-6, saveda6=0.021835327781855488, savedb7=0.29305115323813946, saveda7=0.023767440511268716, savedb8=7.808868535055378E-7, saveda8=0.022828946331650585, savedb9=1.5217711169570734E-10, saveda9=0.019591088919241023}
{saved1=1.0648255455482956E-4, saveda10=6.853275634658832E-7, saved3=0.0031231752151266896, savedb10=4.655909226269011E-11, CFJ6UW6tW=4.062188305969229E-9, savedb0=5.206404748720835E-12, savedc1=0.9953919584986334, savedb1=8.021717691344691E-9, savedb2=5.74352568196162E-7, savedb3=2.321767889168069E-10, savedb4=1.177144947129903E-9, savedb5=3.321678104879834E-9, saveda5=1.372024619940271E-4, savedb6=5.976213987133193E-6, saveda6=1.4480862714163099E-4, savedb7=2.4144869975437777E-4, saveda7=1.7010839408459778E-4, savedb8=1.379667468976073E-4, saveda8=1.663216725316265E-4, savedb9=1.3997267162622673E-7, saveda9=1.3375778564734295E-4}
{saved1=1.0648255598412543E-4, saveda10=6.853272669734702E-7, saved3=0.0031231740472826078, savedb10=4.655909355764915E-11, CFJ6UW6tW=4.062186531274733E-9, savedb0=5.206404222984846E-12, savedc1=0.9953919584645541, savedb1=8.021717728835462E-9, savedb2=5.743524128082884E-7, savedb3=2.3217678487761844E-10, savedb4=1.1771446028636384E-9, savedb5=3.3216775243511327E-9, saveda5=1.372024643901672E-4, savedb6=5.976214127300516E-6, saveda6=1.448086294130693E-4, savedb7=2.4144854376259318E-4, saveda7=1.7010839688055837E-4, savedb8=1.379667433027742E-4, saveda8=1.6632167506265376E-4, savedb9=1.3997268187748038E-7, saveda9=1.3375778736673117E-4}
{saved1=0.018306480784781594, saveda10=0.43178293090736564, saved3=6.348920858964292E-7, savedb10=5.922838361477292E-7, CFJ6UW6tW=0.6675109628273705, savedb0=1.0210320120482477E-4, savedc1=1.4154853009713535E-6, savedb1=1.0011393882829499E-6, savedb2=7.454736815719607E-5, savedb3=7.658585642830936E-4, savedb4=1.1430084438521403E-7, savedb5=3.11755838186631E-8, saveda5=0.0213137876754543, savedb6=2.355068761176006E-6, saveda6=0.02201990510857338, savedb7=0.2907386308325076, saveda7=0.0239633041487665, savedb8=7.904389008530802E-7, saveda8=0.02301836179640922, savedb9=1.5499259102775408E-10, saveda9=0.019758233761161464}
{saved1=0.018279068432934597, saveda10=0.43155579280695655, saved3=6.35158527403805E-7, savedb10=5.906090677672867E-7, CFJ6UW6tW=0.6674203622813664, savedb0=1.018099221775187E-4, savedc1=1.4200576084575131E-6, savedb1=9.98774598753143E-7, savedb2=7.452331662130402E-5, savedb3=7.637170166178945E-4, savedb4=1.1414094296427143E-7, savedb5=3.110654947160579E-8, saveda5=0.021283089350681555, savedb6=2.3503572080052357E-6, saveda6=0.021988126321017088, savedb7=0.2911347119618302, saveda7=0.02392958533286735, savedb8=7.88792649026534E-7, saveda8=0.022985752146486384, savedb9=1.5450529470225468E-10, saveda9=0.019729455205428122}
{saved1=0.018266619726498606, saveda10=0.43145253676524997, saved3=6.352796549091107E-7, savedb10=5.898493761734337E-7, CFJ6UW6tW=0.6673791388787002, savedb0=1.0167686375344745E-4, savedc1=1.4221418377865029E-6, savedb1=9.977016212249697E-7, savedb2=7.451237178149075E-5, savedb3=7.627453937780292E-4, savedb4=1.1406835430124949E-7, savedb5=3.107523441160372E-8, saveda5=0.021269147728853008, savedb6=2.3482191984966618E-6, saveda6=0.02197369407666871, savedb7=0.29131490981700314, saveda7=0.023914271578369017, savedb8=7.880452124911961E-7, saveda8=0.022970942318429673, savedb9=1.5428434999494983E-10, saveda9=0.01971638575070127}
{saved1=0.14793514722110482, saveda10=1.7896526106537473E-4, saved3=1.2066423788760131E-5, savedb10=3.137524937246799E-5, CFJ6UW6tW=2.958146332459125E-4, savedb0=7.83170660227876E-5, savedc1=0.0010271951829910046, savedb1=1.785589746892593E-4, savedb2=7.79058935416556E-6, savedb3=6.755542502726371E-4, savedb4=2.2486363906030547E-7, savedb5=7.872958111319963E-5, saveda5=0.1581791024317379, savedb6=0.0013664852422116695, saveda6=0.16500174215196722, savedb7=6.550766566479993E-4, saveda7=0.16978418783115465, savedb8=0.0011463255563936476, saveda8=0.16991324736559862, savedb9=4.7352567479700287E-4, saveda9=0.15999056020394314}
{saved1=0.14763870725933137, saveda10=2.183269815271403E-4, saved3=1.064382985177845E-5, savedb10=3.2764950971851464E-5, CFJ6UW6tW=3.597347000849551E-4, savedb0=8.576553940199257E-5, savedc1=8.881189567456392E-4, savedb1=1.7941804586541933E-4, savedb2=7.981554236550367E-6, savedb3=7.404795703300769E-4, savedb4=2.3862074422258507E-7, savedb5=7.735196771207323E-5, saveda5=0.1578149548799684, savedb6=0.0013270761112560503, saveda6=0.1646618732551647, savedb7=7.392417422258344E-4, saveda7=0.16943230909885765, savedb8=9.892311278186729E-4, saveda8=0.16954855862147522, savedb9=3.9842270880729845E-4, saveda9=0.15961660457560956}
