{saved1=4.398496571707602E-9, saveda10=2.1726171339667868E-4, saved3=2.324619916249947E-8, savedb10=6.232615344615545E-4, CFJ6UW6tW=1.5471509819148566E-5, savedb0=4.368722671150328E-4, savedc1=6.985877044449401E-11, savedb1=1.7975721090860423E-5, savedb2=0.0011680625513063102, savedb3=6.301886680077433E-5, savedb4=0.9962579559886473, savedb5=1.1322782470662259E-4, saveda5=6.802002005491892E-9, savedb6=1.0365329293917613E-6, saveda6=7.484697983162545E-9, savedb7=4.009562806557341E-8, saveda7=9.266842876012507E-9, savedb8=1.9639827660498575E-11, saveda8=8.32313756320251E-9, savedb9=9.582880316849984E-7, saveda9=6.999143556402445E-9}
{saved1=9.131051742600337E-7, saveda10=3.117349055616732E-5, saved3=0.001911742717925553, savedb10=7.108924939409168E-5, CFJ6UW6tW=2.0970557250329008E-5, savedb0=4.050910368775035E-6, savedc1=1.323141631345427E-9, savedb1=7.357043460325609E-7, savedb2=0.3176450476145143, savedb3=0.386326470419753, savedb4=0.46445565888952295, savedb5=1.1286174244515213E-6, saveda5=1.5354177218845774E-6, savedb6=1.6709907192331914E-7, saveda6=1.4973815364150961E-6, savedb7=5.086369084819633E-10, saveda7=1.6703667879762513E-6, savedb8=0.0010191773875246526, saveda8=1.5443416215491792E-6, savedb9=0.1868219490434157, saveda9=1.3155324111499446E-6}
{saved1=9.127606991284595E-7, saveda10=3.117436969804624E-5, saved3=0.001911343338980487, savedb10=7.10524149531583E-5, CFJ6UW6tW=2.09772789116134E-5, savedb0=4.048322773750122E-6, savedc1=1.323965755740252E-9, savedb1=7.352689780994661E-7, savedb2=0.31768468141674916, savedb3=0.3861185415579259, savedb4=0.46436157582230203, savedb5=1.1280738705906737E-6, saveda5=1.534852034187599E-6, savedb6=1.6692252731429266E-7, saveda6=1.4968320944725484E-6, savedb7=5.088655766544827E-10, saveda7=1.6697686245174058E-6, savedb8=0.0010183351711219237, saveda8=1.5437830718200565E-6, savedb9=0.18663166227894332, saveda9=1.3150477814575902E-6}
{saved1=9.127606991284399E-7, saveda10=3.1174369698046295E-5, saved3=0.0019113433389804648, savedb10=7.105241495315614E-5, CFJ6UW6tW=2.0977278911613768E-5, savedb0=4.048322773749965E-6, savedc1=1.3239657557403036E-9, savedb1=7.352689780994425E-7, savedb2=0.31768468141675127, savedb3=0.3861185415579146, savedb4=0.4643615758222968, savedb5=1.1280738705906417E-6, saveda5=1.5348520341875663E-6, savedb6=1.6692252731428318E-7, saveda6=1.4968320944725167E-6, savedb7=5.088655766544935E-10, saveda7=1.669768624517373E-6, savedb8=0.0010183351711218766, saveda8=1.5437830718200234E-6, savedb9=0.186631662278933, saveda9=1.3150477814575643E-6}
{saved1=0.14771560097800635, saveda10=2.081194582106037E-4, saved3=1.0970213496533642E-5, savedb10=3.243025057696575E-5, CFJ6UW6tW=3.4329446276165664E-4, savedb0=8.39336618386021E-5, savedc1=9.197222997563338E-4, savedb1=1.7922628083465267E-4, savedb2=7.935617417201052E-6, savedb3=7.24444212247488E-4, savedb4=2.3525679632851149E-7, savedb5=7.768186023597873E-5, saveda5=0.15790814540952172, savedb6=0.0013364488057815717, saveda6=0.1647495388430803, savedb7=7.18208885412146E-4, saveda7=0.16952289950087096, savedb8=0.0010249134343108153, saveda8=0.1696423006872832, savedb9=4.153255212790244E-4, saveda9=0.15971259207529653}
{saved1=9.127606991284595E-7, saveda10=3.117436969804624E-5, saved3=0.001911343338980487, savedb10=7.10524149531583E-5, CFJ6UW6tW=2.09772789116134E-5, savedb0=4.048322773750122E-6, savedc1=1.323965755740252E-9, savedb1=7.352689780994661E-7, savedb2=0.31768468141674916, savedb3=0.3861185415579259, savedb4=0.46436157582230203, savedb5=1.1280738705906737E-6, saveda5=1.534852034187599E-6, savedb6=1.6692252731429266E-7, saveda6=1.4968320944725484E-6, savedb7=5.088655766544827E-10, saveda7=1.6697686245174058E-6, savedb8=0.0010183351711219237, saveda8=1.5437830718200565E-6, savedb9=0.18663166227894332, saveda9=1.3150477814575902E-6}
{saved1=0.14771560097800635, saveda10=2.081194582106037E-4, saved3=1.0970213496533642E-5, savedb10=3.243025057696575E-5, CFJ6UW6tW=3.4329446276165664E-4, savedb0=8.39336618386021E-5, savedc1=9.197222997563338E-4, savedb1=1.7922628083465267E-4, savedb2=7.935617417201052E-6, savedb3=7.24444212247488E-4, savedb4=2.3525679632851149E-7, savedb5=7.768186023597873E-5, saveda5=0.15790814540952172, savedb6=0.0013364488057815717, saveda6=0.1647495388430803, savedb7=7.18208885412146E-4, saveda7=0.16952289950087096, savedb8=0.0010249134343108153, saveda8=0.1696423006872832, savedb9=4.153255212790244E-4, saveda9=0.15971259207529653}
{saved1=9.131051742600337E-7, saveda10=3.117349055616732E-5, saved3=0.001911742717925553, savedb10=7.108924939409168E-5, CFJ6UW6tW=2.0970557250329008E-5, savedb0=4.050910368775035E-6, savedc1=1.323141631345427E-9, savedb1=7.357043460325609E-7, savedb2=0.3176450476145143, savedb3=0.386326470419753, savedb4=0.46445565888952295, savedb5=1.1286174244515213E-6, saveda5=1.5354177218845774E-6, savedb6=1.6709907192331914E-7, saveda6=1.4973815364150961E-6, savedb7=5.086369084819633E-10, saveda7=1.6703667879762513E-6, savedb8=0.0010191773875246526, saveda8=1.5443416215491792E-6, savedb9=0.1868219490434157, saveda9=1.3155324111499446E-6}
{saved1=9.131051742600337E-7, saveda10=3.117349055616732E-5, saved3=0.001911742717925553, savedb10=7.108924939409168E-5, CFJ6UW6tW=2.0970557250329008E-5, savedb0=4.050910368775035E-6, savedc1=1.323141631345427E-9, savedb1=7.357043460325609E-7, savedb2=0.3176450476145143, savedb3=0.386326470419753, savedb4=0.46445565888952295, savedb5=1.1286174244515213E-6, saveda5=1.5354177218845774E-6, savedb6=1.6709907192331914E-7, saveda6=1.4973815364150961E-6, savedb7=5.086369084819633E-10, saveda7=1.6703667879762513E-6, savedb8=0.0010191773875246526, saveda8=1.5443416215491792E-6, savedb9=0.1868219490434157, saveda9=1.3155324111499446E-6}
{saved1=9.127606991284529E-7, saveda10=3.117436969804624E-5, saved3=0.0019113433389804852, savedb10=7.105241495315754E-5, CFJ6UW6tW=2.097727891161347E-5, savedb0=4.048322773750065E-6, savedc1=1.3239657557402708E-9, savedb1=7.352689780994582E-7, savedb2=0.3176846814167496, savedb3=0.38611854155792213, savedb4=0.46436157582230025, savedb5=1.1280738705906616E-6, saveda5=1.5348520341875881E-6, savedb6=1.6692252731428972E-7, saveda6=1.496832094472535E-6, savedb7=5.088655766544845E-10, saveda7=1.6697686245173938E-6, savedb8=0.001018335171121911, saveda8=1.5437830718200455E-6, savedb9=0.18663166227894018, saveda9=1.3150477814575807E-6}
{saved1=9.127606991284399E-7, saveda10=3.1174369698046295E-5, saved3=0.0019113433389804648, savedb10=7.105241495315614E-5, CFJ6UW6tW=2.0977278911613768E-5, savedb0=4.048322773749965E-6, savedc1=1.3239657557403036E-9, savedb1=7.352689780994425E-7, savedb2=0.31768468141675127, savedb3=0.3861185415579146, savedb4=0.4643615758222968, savedb5=1.1280738705906417E-6, saveda5=1.5348520341875663E-6, savedb6=1.6692252731428318E-7, saveda6=1.4968320944725167E-6, savedb7=5.088655766544935E-10, saveda7=1.669768624517373E-6, savedb8=0.0010183351711218766, saveda8=1.5437830718200234E-6, savedb9=0.186631662278933, saveda9=1.3150477814575643E-6}
